papers,citations_all,citations_self,hindex_external,hindex_both
8,3902,4,3.31,3.42
13,874,13,6.28,6.77
117,20820,184,32.95,34.67
339,81452,1030,54.95,67.34
21,1657,21,5.74,5.96
8,45,1,3.36,3.26
23,334,16,5.79,5.97
9,137,4,3.74,3.88
16,109,12,5.14,5.5
221,17283,441,43.0,48.14
28,88,14,4.02,4.02
1,15,0,1.0,1.0
11,489,5,5.61,5.52
23,553,29,8.12,8.35
218,25727,319,35.84,41.83
38,7660,111,14.37,14.96
21,391,9,6.3,6.66
21,319,16,7.89,7.93
216,39096,354,59.59,63.04
127,35446,382,29.58,32.95
14,579,14,4.79,4.89
1,15,0,1.0,1.0
1,15,0,1.0,1.0
78,7973,272,16.77,19.33
21,915,13,6.98,7.28
18,468,13,5.45,5.71
23,494,30,5.45,6.07
19,643,25,7.76,7.6
1,16,0,1.0,1.0
33,987,22,7.61,8.45
7,94,2,3.11,3.13
15,891,11,5.92,5.89
7,45,7,2.39,2.42
24,1266,13,9.75,9.99
9,337,0,5.61,5.52
95,5064,212,14.25,18.27
54,3115,113,15.64,16.92
65,2502,136,16.06,17.71
16,422,22,5.25,5.33
152,4551,624,29.89,31.7
70,2912,99,15.36,15.84
234,24232,838,40.5,50.21
529,49337,4708,56.12,78.19
62,4759,56,11.27,12.24
27,1391,9,6.68,6.98
8,203,2,3.17,3.16
166,8359,717,33.68,41.36
25,1919,15,7.61,7.79
233,81019,537,41.47,47.31
373,31523,1429,42.55,56.76
14,1680,25,5.81,5.71
23,452,20,6.39,6.84
27,341,28,8.96,8.98
4,31,0,2.0,2.0
5,31,2,3.0,2.98
6,45,1,2.93,2.94
3,35,1,1.0,1.0
18,231,1,6.39,6.55
439,58548,924,57.3,70.97
